startup_id,sector,seed_funding_millions,market_score,survived_3yr,year3_revenue_millions
65,Fintech,0.38,-0.14,False,
66,Health,1.41,-0.28,True,14.42
67,Fintech,0.35,0.57,False,
68,Fintech,0.23,0.11,False,
69,Fintech,0.72,-0.79,False,
70,Games,0.45,-0.22,False,
71,Fintech,1.02,-1.53,True,14.33
72,AI,0.24,-0.18,True,9.52
73,Games,0.64,0.0,False,
74,AI,3.9,1.81,False,
75,Retail,0.45,1.35,False,
76,Fintech,0.63,-1.03,False,
77,AI,0.14,0.2,False,
78,Retail,0.27,0.22,True,20.69
79,Games,0.78,-0.23,False,
80,Retail,0.42,-0.17,False,
81,Health,0.88,-0.35,False,
82,Fintech,0.76,1.87,True,12.23
83,Games,0.19,-0.42,False,
84,Health,1.22,0.34,False,
85,Health,0.2,-2.53,False,
86,Fintech,0.29,0.82,False,
87,Fintech,0.65,1.18,False,
88,AI,1.89,-1.05,False,
89,Retail,0.24,-0.51,False,
90,Fintech,0.61,0.45,False,
91,Retail,0.61,0.02,False,
92,Fintech,0.91,0.47,False,
93,Health,1.39,-0.29,False,
94,Fintech,0.39,1.86,False,
95,Games,1.21,-0.67,False,
96,Retail,1.57,2.69,True,17.1
97,Health,2.25,1.24,True,16.59
98,Fintech,0.81,0.83,False,
99,Games,0.61,-1.04,False,
100,AI,0.37,0.91,True,14.46
101,Games,0.17,0.6,False,
102,Games,0.43,-2.12,True,27.82
103,Fintech,0.59,-1.4,False,
104,Games,0.5,0.36,False,
105,Games,0.87,-0.13,True,10.24
106,AI,0.17,-0.52,False,
107,Fintech,0.47,1.08,True,5.23
108,Health,2.67,-0.88,False,
109,Retail,1.2,-0.46,False,
110,Health,0.88,-0.65,False,
111,Health,0.74,0.51,False,
112,Fintech,0.4,-1.72,False,
113,AI,0.13,-0.5,False,
114,AI,0.78,-1.72,False,
115,Fintech,0.08,-0.31,True,11.06
116,AI,0.42,0.72,False,
117,AI,0.54,0.74,False,
118,Games,0.38,-0.73,False,
119,Games,3.07,0.53,True,20.28
120,AI,2.33,-0.19,False,
121,Games,1.23,1.36,False,
122,AI,0.26,-0.13,False,
123,Fintech,2.51,-2.97,False,
124,Retail,0.89,0.89,False,
125,Health,0.25,-0.46,False,
126,AI,0.55,-0.27,False,
127,Fintech,1.16,0.34,False,
128,Games,0.33,-1.42,False,
129,Fintech,0.6,0.07,False,
130,Retail,0.7,0.53,True,4.76
131,Health,0.22,0.36,False,
132,AI,0.44,-0.6,False,
133,Health,0.24,0.99,True,7.99
134,Games,1.08,-1.0,False,
135,Health,0.26,-0.63,False,
136,Retail,0.68,-0.14,False,
137,Retail,0.18,0.3,True,10.28
138,AI,0.22,-0.32,False,
139,AI,0.21,1.23,False,
140,Fintech,0.43,0.3,False,
141,Games,0.62,0.08,False,
142,Games,0.72,0.26,False,
143,Fintech,0.13,0.73,False,
144,Retail,0.47,0.24,False,
145,Fintech,0.3,-1.81,False,
146,Retail,0.83,1.09,False,
147,Retail,0.44,0.12,True,7.21
148,AI,0.51,0.68,False,
149,Fintech,0.3,-0.41,True,11.39
150,Fintech,2.15,-1.83,False,
151,Retail,0.19,-2.28,False,
152,Fintech,0.39,-0.94,False,
153,Retail,0.59,0.52,False,
154,Health,0.44,1.3,False,
155,Health,0.29,0.3,False,
156,Retail,0.13,-1.05,False,
157,Health,0.31,-0.78,False,
158,Games,0.25,1.36,True,21.56
159,Health,2.07,-1.31,False,
160,AI,3.31,2.1,True,20.5
161,AI,0.52,1.88,True,11.03
162,Fintech,0.18,2.13,True,43.37
163,Games,0.98,0.38,False,
164,Fintech,0.25,-0.34,False,
165,Health,0.35,0.36,False,
166,AI,0.33,0.91,False,
167,Games,0.36,-0.65,False,
168,Retail,0.41,-1.1,False,
169,Games,0.19,-0.28,False,
170,Retail,0.31,-0.77,False,
171,AI,1.22,1.24,True,14.01
172,AI,0.53,-0.62,True,26.1
173,Health,0.6,0.1,False,
174,Fintech,0.09,0.98,False,
175,Games,1.15,1.28,False,
176,Retail,0.31,0.21,False,
177,AI,1.33,0.38,False,
178,Retail,0.61,-1.02,True,33.11
179,AI,0.34,1.02,False,
180,Games,0.14,1.26,True,29.23
181,Fintech,3.08,-1.87,True,9.14
182,Games,1.03,1.76,False,
183,AI,1.08,-0.7,True,32.63
184,Retail,2.32,0.59,True,36.54
185,Retail,0.65,0.08,False,
186,Health,1.59,-0.06,False,
187,Health,0.37,-0.21,False,
188,Games,0.97,-0.99,True,21.25
189,Games,0.33,0.52,False,
190,Health,0.36,-0.29,False,
191,Games,0.58,-1.31,False,
192,Retail,0.2,-1.04,False,
193,Games,0.7,-1.29,False,
194,AI,0.42,-0.52,False,
195,Retail,0.11,0.49,True,20.18
196,Fintech,0.37,-0.71,False,
197,AI,0.41,0.98,True,29.37
198,Retail,1.07,-0.12,False,
199,Fintech,0.68,-0.29,False,
200,AI,1.72,0.02,False,
201,Health,0.82,1.4,False,
202,Retail,0.35,-1.37,True,17.21
203,AI,0.52,1.66,True,3.68
204,Health,0.41,0.96,False,
205,AI,0.8,-0.02,False,
206,Health,0.57,1.18,False,
207,Fintech,0.33,-0.32,False,
208,AI,0.54,0.29,False,
209,Retail,0.78,-0.54,True,18.27
210,Games,0.24,0.97,True,14.71
211,Retail,0.7,-0.71,False,
212,Retail,0.15,-0.05,False,
213,Retail,1.31,0.68,False,
214,Games,0.82,1.05,False,
215,Fintech,1.99,-0.82,False,
216,Retail,0.22,0.75,True,23.24
217,Health,1.34,-0.98,True,10.26
218,Fintech,1.14,-2.15,True,13.69
219,Fintech,0.47,-0.75,True,21.09
220,Fintech,0.4,0.83,False,
221,Health,0.23,-0.01,False,
222,Retail,0.18,-0.53,False,
223,Health,0.3,0.06,False,
224,Fintech,0.2,0.02,False,
225,AI,1.94,0.62,True,9.32
226,Retail,0.16,-1.61,False,
227,Health,0.61,-0.1,True,21.48
228,Health,0.77,0.12,True,6.96
229,Retail,0.72,-1.37,False,
230,Retail,0.77,-1.38,False,
231,Health,1.15,-0.36,False,
232,Games,0.38,0.01,False,
233,Fintech,0.58,0.01,True,4.52
234,Retail,0.43,-0.56,False,
235,Health,1.53,-0.6,True,9.11
236,Games,2.9,-0.4,False,
237,AI,0.21,0.3,False,
238,Games,0.11,1.24,True,58.25
239,Fintech,0.85,-2.22,False,
240,Health,1.27,0.62,True,36.09
241,Games,2.59,-0.11,False,
242,Retail,0.98,0.53,True,19.36
243,Fintech,1.65,1.19,False,
244,Retail,2.04,-0.76,False,
245,Fintech,1.74,0.94,False,
246,Health,1.09,-1.25,False,
247,AI,0.19,0.13,False,
248,Fintech,0.54,-0.24,False,
249,Retail,0.69,0.05,True,6.58
250,AI,0.5,-0.99,True,20.07
251,Retail,0.52,0.44,False,
252,Fintech,1.89,1.59,False,
253,Games,0.29,-0.97,False,
254,AI,1.02,0.19,True,19.14
255,Games,0.7,0.86,False,
256,Retail,0.27,-0.3,False,
257,Health,0.23,1.36,False,
258,Fintech,0.14,-0.43,True,42.39
259,Retail,0.8,-0.12,True,20.05
260,Games,0.51,-0.99,False,
261,AI,0.28,0.13,False,
262,Games,0.12,0.0,False,
263,Games,0.76,0.64,False,
264,Retail,0.47,-0.64,True,5.58
265,Fintech,0.31,-0.68,False,
266,Health,0.25,0.46,False,
267,Retail,0.45,1.4,False,
268,Health,0.79,0.63,False,
269,Health,0.41,1.85,False,
270,Retail,0.21,0.56,True,8.99
271,Fintech,0.52,0.52,False,
272,Fintech,1.25,0.68,False,
273,Retail,0.56,1.49,True,36.48
274,Games,0.57,1.24,False,
275,Retail,0.42,-1.08,False,
276,Games,0.27,0.8,False,
277,Fintech,0.26,0.27,False,
278,Fintech,0.14,-0.19,False,
279,AI,1.39,-1.77,False,
280,Retail,0.78,-1.54,False,
281,AI,0.58,-0.36,False,
282,Health,0.68,-1.46,False,
283,Health,0.71,-0.34,False,
284,AI,0.3,0.71,False,
285,Fintech,0.42,-0.58,False,
286,Games,0.37,0.08,False,
287,AI,4.03,-1.07,True,29.88
288,Retail,1.22,0.3,True,71.32
289,Retail,0.62,0.51,False,
290,AI,1.61,-1.42,False,
291,Retail,1.46,-0.75,False,
292,Fintech,0.18,-1.27,False,
293,AI,0.45,0.51,False,
294,Fintech,0.53,0.16,False,
295,Retail,0.88,-0.05,True,9.46
296,Games,0.45,-0.13,False,
297,Fintech,0.5,0.32,False,
298,Games,0.37,0.34,False,
299,Games,1.25,-0.5,False,
300,Games,0.17,-0.64,False,
301,Health,0.38,-0.06,True,18.87
302,Retail,0.12,-0.19,True,10.31
303,Games,0.24,2.06,True,26.76
304,AI,0.7,-0.38,False,
305,Retail,0.71,0.29,False,
306,Fintech,0.42,0.47,False,
307,Games,1.33,1.4,False,
308,Games,1.6,-0.81,False,
309,Fintech,0.51,1.34,True,4.26
310,AI,0.66,-0.15,True,56.76
311,Games,0.38,2.5,False,
312,Retail,0.89,0.36,False,
313,Retail,0.21,-1.23,False,
314,Games,2.27,-0.2,False,
315,Fintech,1.35,1.34,False,
316,Fintech,0.21,0.08,False,
317,Retail,0.29,-0.06,False,
318,Health,0.76,0.72,False,
319,Games,0.41,-0.34,False,
320,Fintech,0.84,-0.21,False,
321,AI,0.41,-0.94,False,
322,Games,1.83,1.73,True,18.38
323,Games,0.54,-1.22,False,
324,Games,3.75,0.17,False,
325,Fintech,0.88,0.48,False,
326,Retail,0.18,-0.01,False,
327,Health,2.87,-1.25,True,14.48
328,Retail,1.3,-1.0,False,
329,Games,0.73,0.52,False,
330,Health,0.91,-0.78,False,
331,Games,0.21,-2.07,False,
332,Health,0.13,0.39,True,38.29
333,Health,0.52,-0.87,False,
334,Games,1.63,0.63,True,13.48
335,AI,0.74,-0.2,False,
336,Retail,2.12,-0.25,False,
337,Fintech,1.55,0.05,True,24.49
338,Fintech,0.55,-1.14,False,
339,Retail,1.39,-0.83,False,
340,Fintech,1.83,-0.26,False,
341,Retail,0.51,-1.14,False,
342,Health,0.46,0.71,False,
343,Fintech,0.6,-0.31,False,
344,AI,0.08,-1.45,False,
345,AI,0.68,-0.56,False,
346,AI,0.96,0.1,False,
347,AI,0.61,-0.45,False,
348,Fintech,0.71,0.4,True,23.69
349,Fintech,0.52,0.57,True,7.13
350,Health,0.11,2.4,False,
351,Fintech,2.04,1.15,True,44.34
352,AI,0.4,-1.64,False,
353,AI,0.33,-0.36,False,
354,AI,1.6,-0.27,True,2.03
355,Fintech,1.18,0.58,False,
356,AI,0.67,-0.93,False,
357,Fintech,1.0,-0.53,False,
358,Retail,0.21,-1.24,False,
359,Fintech,0.51,-0.6,True,12.79
360,AI,1.52,-0.56,False,
361,Games,0.31,-0.31,False,
362,Health,0.24,-1.19,False,
363,AI,0.58,0.98,True,18.38
364,Retail,0.59,0.47,False,
365,Games,0.91,-1.45,True,26.81
366,Retail,0.18,0.03,False,
367,Retail,0.07,-1.57,False,
368,Games,1.13,1.34,True,12.23
369,Games,0.23,1.61,False,
370,Health,0.33,-0.06,False,
371,Retail,0.09,-0.85,False,
372,Health,1.22,-0.66,False,
373,Fintech,0.72,-0.45,False,
374,AI,0.69,-0.11,False,
375,Games,0.69,1.37,True,21.55
376,Health,0.1,0.96,False,
377,Retail,0.25,0.97,False,
378,AI,0.38,0.17,True,17.15
379,Retail,0.3,-1.15,False,
380,AI,0.43,-0.77,False,
381,Games,0.66,0.06,False,
382,Fintech,1.21,-1.2,False,
383,Fintech,0.17,0.3,True,7.53
384,Health,0.54,0.81,True,12.57
385,Fintech,0.95,0.55,True,16.85
386,AI,0.26,0.51,False,
387,Retail,0.46,-1.87,False,
388,Fintech,0.78,1.33,False,
389,Games,0.55,-1.57,False,
390,Games,0.93,-0.15,False,
391,AI,0.58,0.62,True,6.38
392,Retail,0.42,0.36,True,21.71
393,Retail,0.21,-1.28,False,
394,Retail,0.66,-1.1,False,
395,Retail,0.59,0.29,False,
396,Games,0.24,0.51,True,14.0
397,Retail,0.86,-1.11,False,
398,AI,1.49,0.39,False,
399,AI,0.32,-1.52,False,
400,Games,0.3,0.62,False,
401,Fintech,0.29,-0.88,False,
402,Games,0.14,0.08,True,30.93
403,Fintech,2.69,-0.09,False,
404,Fintech,0.38,1.16,True,9.55
405,Retail,0.27,0.24,True,12.64
406,AI,0.22,-0.6,False,
407,AI,0.4,0.36,True,11.52
408,Games,0.31,2.14,True,14.5
409,Retail,1.71,0.74,False,
410,Retail,0.2,-0.06,False,
411,Fintech,0.16,-0.83,False,
412,Retail,0.84,-0.62,False,
413,Games,0.5,0.68,False,
414,Retail,0.45,-0.89,False,
415,AI,0.85,0.0,False,
416,Fintech,0.6,1.44,True,5.28
417,Health,0.52,0.15,False,
418,Health,0.18,-1.08,False,
419,AI,0.14,2.18,True,26.28
420,Health,0.31,1.76,True,8.41
421,Games,0.23,0.5,False,
422,Fintech,0.67,1.28,True,5.94
423,Health,0.13,-0.27,False,
424,Fintech,0.38,0.72,False,
425,Retail,0.47,-0.42,True,14.77
426,Games,0.52,-1.36,False,
427,Health,0.74,2.59,True,32.92
428,Retail,0.42,-1.41,False,
429,Games,0.32,0.3,False,
430,Fintech,1.46,0.29,True,147.98
431,Games,0.42,0.52,False,
432,Retail,1.68,-0.09,False,
433,AI,0.42,-0.08,False,
434,Games,0.53,0.14,False,
435,AI,0.48,0.48,True,17.87
436,Retail,0.65,-0.0,True,16.57
437,Games,0.39,-0.07,False,
438,Retail,0.58,-1.32,False,
439,Games,1.84,2.01,False,
440,AI,1.25,0.54,True,10.35
441,Health,1.26,0.21,False,
442,Retail,0.18,-0.62,False,
443,Fintech,0.21,-1.0,False,
444,AI,0.64,0.86,False,
445,Games,1.0,-0.16,True,101.41
446,Health,0.36,0.62,False,
447,AI,0.31,-1.35,False,
448,Fintech,1.65,1.55,True,11.99
449,Fintech,0.94,0.9,True,4.06
450,Games,1.26,-0.08,False,
451,Health,0.38,0.47,True,15.43
452,Health,0.36,0.74,False,
453,Retail,1.15,-1.34,False,
454,Fintech,0.44,1.68,False,
455,Games,0.33,0.48,False,
456,Fintech,0.26,-0.7,False,
457,Health,0.36,-1.1,False,
458,Health,1.09,0.99,False,
459,Games,0.16,0.21,False,
460,Retail,0.89,0.48,False,
461,Fintech,0.31,0.03,True,11.42
462,AI,0.46,-1.0,False,
463,Health,0.48,0.51,False,
464,Health,0.45,-0.2,False,
465,Fintech,0.43,-0.02,False,
466,Retail,0.38,2.38,True,5.33
467,Retail,0.34,0.87,False,
468,Health,1.55,0.93,False,
469,Health,0.55,2.72,True,8.14
470,AI,0.49,0.38,False,
471,Health,0.32,0.12,False,
472,Games,0.39,-0.68,True,20.54
473,Retail,0.32,-0.45,False,
474,Health,1.0,-2.05,True,19.28
475,AI,0.3,0.79,False,
476,AI,0.09,-1.27,False,
477,AI,0.57,0.9,True,11.47
478,Retail,0.43,-0.04,False,
479,Retail,0.34,0.13,True,18.99
480,Retail,1.12,-0.04,False,
481,Retail,0.06,1.39,False,
482,AI,1.91,1.21,True,9.76
483,Games,1.26,-0.03,False,
484,Games,0.33,-0.9,False,
485,Fintech,0.38,0.92,False,
486,Health,0.81,-0.97,False,
487,Games,0.83,-1.55,False,
488,Retail,0.33,0.5,False,
489,AI,0.15,1.22,False,
490,Retail,2.93,-0.41,False,
491,Retail,1.16,0.4,False,
492,Retail,0.61,-0.42,False,
493,AI,0.62,0.72,False,
494,Fintech,0.89,1.1,True,8.21
495,Games,0.98,-0.26,False,
496,Fintech,0.1,-1.03,False,
497,AI,0.41,-1.46,False,
498,Retail,0.38,0.93,True,92.29
499,AI,0.47,-1.14,True,18.01
500,Health,1.0,0.37,False,
501,Retail,0.13,0.78,True,33.8
502,Health,0.18,-0.5,False,
503,Retail,0.31,-0.17,False,
504,Health,0.61,1.0,True,7.7
505,Fintech,1.05,-0.81,False,
506,AI,1.99,-0.91,True,35.6
507,Fintech,0.43,-0.23,False,
508,Fintech,1.05,1.28,True,52.75
509,Retail,0.95,1.61,False,
510,Retail,0.83,-0.1,False,
511,AI,0.53,-0.71,False,
512,AI,0.39,1.06,True,108.01
513,Games,0.23,-1.67,False,
514,Health,0.22,0.25,False,
515,Fintech,0.71,-0.04,False,
516,Fintech,0.52,1.29,False,
517,Fintech,0.39,1.4,True,96.42
518,Health,0.92,-0.94,False,
519,AI,0.46,0.17,False,
520,Games,0.26,-0.57,False,
521,Fintech,0.44,-0.29,False,
522,Health,1.04,0.62,False,
523,Health,0.24,-0.33,True,11.75
524,Fintech,0.64,0.19,False,
525,Retail,0.52,0.96,False,
526,Games,0.29,1.52,False,
527,Retail,0.43,0.29,False,
528,Health,0.15,0.12,False,
529,Health,0.59,-1.11,False,
530,Fintech,0.18,1.59,True,20.22
531,Health,1.27,0.5,False,
532,Games,0.5,0.14,True,38.99
533,Health,0.34,0.09,False,
534,AI,1.37,0.36,True,21.06
535,Fintech,0.24,0.77,False,
536,AI,0.3,0.9,False,
537,Fintech,0.13,1.61,False,
538,Games,1.54,0.24,False,
539,Retail,2.42,1.75,False,
540,AI,0.14,1.06,False,
541,AI,0.28,-0.06,False,
542,Fintech,0.57,-1.67,False,
543,AI,0.36,0.09,False,
544,Games,0.53,1.56,False,
545,AI,0.49,-0.78,False,
546,Retail,0.75,0.08,False,
547,Retail,0.25,0.17,False,
548,Health,0.63,0.94,False,
549,Retail,0.22,-0.39,True,98.6
550,Games,0.39,-0.87,False,
551,Retail,0.13,0.57,False,
552,Fintech,0.39,-0.74,False,
553,Retail,0.34,-1.84,False,
554,AI,1.15,1.84,True,29.94
555,Fintech,0.52,0.93,False,
556,Retail,0.6,1.88,True,20.47
557,Fintech,0.53,0.87,True,33.23
558,Fintech,0.1,0.68,False,
559,AI,0.11,0.37,False,
560,AI,0.42,-0.19,True,16.29
561,Fintech,0.68,0.51,False,
562,Health,0.45,-0.55,False,
563,Health,0.27,-1.07,True,61.74
564,Retail,0.45,-0.33,True,21.51
565,AI,0.42,1.29,True,10.95
566,Retail,1.01,-1.23,False,
567,Health,0.96,-1.22,True,8.84
568,Retail,0.35,0.59,False,
569,Retail,0.52,-0.42,False,
570,Retail,0.67,0.49,False,
571,AI,0.76,0.99,False,
572,Health,2.03,0.46,False,
573,Retail,0.53,-0.63,False,
574,Games,1.38,1.28,True,7.32
575,AI,0.21,0.74,False,
576,Games,0.32,0.03,True,2.99
577,Retail,0.1,-0.02,True,42.4
578,Fintech,0.61,0.37,False,
579,Games,0.91,-0.31,False,
580,Retail,0.07,-1.63,False,
581,Health,0.63,0.75,True,19.4
582,AI,0.88,0.69,False,
583,Health,0.84,-2.3,False,
584,Games,0.21,0.51,True,27.08
585,Health,1.0,1.76,False,
586,Games,0.54,-1.13,False,
587,Health,0.87,-0.07,True,25.62
588,Retail,0.49,-0.18,False,
589,Retail,0.73,1.66,False,
590,Retail,1.31,1.12,False,
591,Health,0.46,-0.88,True,8.66
592,AI,0.68,0.34,False,
593,Games,1.47,2.3,False,
594,AI,0.49,-0.62,False,
595,Health,0.22,-0.01,False,
596,AI,0.93,0.51,False,
597,Health,1.7,-0.61,False,
598,Games,1.52,1.76,True,24.8
599,Health,0.96,-0.47,False,
600,Health,0.08,-1.39,False,
601,AI,0.32,-0.52,False,
602,Fintech,0.34,0.65,True,36.42
603,Health,0.56,-0.8,False,
604,Retail,2.09,0.3,True,31.63
605,Retail,0.23,0.56,True,6.1
606,Retail,3.25,-1.21,False,
607,AI,0.4,-0.56,True,33.01
608,Fintech,0.29,0.35,False,
609,Health,1.06,0.7,False,
610,Games,1.13,-0.54,False,
611,Games,0.91,0.15,False,
612,Retail,0.29,-0.28,False,
613,Health,0.81,0.73,True,10.23
614,Health,0.24,0.52,True,12.38
615,Retail,0.29,-0.37,False,
616,Fintech,0.5,0.48,False,
617,Retail,0.28,-0.41,True,6.68
618,Games,1.25,0.46,True,26.78
619,AI,0.34,0.47,True,4.37
620,Retail,0.45,2.37,False,
621,Retail,0.27,-0.34,True,13.2
622,Retail,1.24,-0.14,False,
623,AI,0.32,-0.65,True,5.43
624,AI,1.35,-1.03,True,21.11
625,Games,1.27,-0.46,False,
626,AI,0.38,0.67,False,
627,AI,0.55,0.74,True,46.78
628,Health,0.37,0.3,True,18.05
629,AI,0.84,-0.3,False,
630,Games,0.46,-0.49,False,
631,Health,0.39,-0.92,False,
632,AI,0.56,-0.56,False,
633,Health,0.15,-1.3,False,
634,AI,0.51,1.36,False,
635,AI,0.91,1.84,True,11.01
636,Health,0.6,-1.94,True,10.98
637,Health,1.16,0.29,False,
638,Fintech,0.4,0.27,False,
639,Games,0.37,0.21,True,30.16
640,Fintech,0.22,-0.59,False,
641,Games,0.39,1.02,False,
642,Fintech,2.6,0.41,False,
643,Games,0.67,1.03,False,
644,Health,0.34,-0.74,False,
645,AI,0.24,-1.38,False,
646,Games,0.15,0.43,False,
647,Retail,0.28,-0.96,False,
648,AI,0.99,1.05,False,
649,Games,0.38,-2.13,False,
650,Retail,0.25,-0.47,False,
651,AI,0.27,-0.62,False,
652,Retail,0.91,-0.33,True,48.57
653,Health,0.51,0.26,False,
654,Games,0.33,0.4,False,
655,Retail,0.42,0.64,False,
656,Retail,3.16,0.75,False,
657,Games,1.43,-0.17,False,
658,Games,1.75,2.11,True,32.18
659,Fintech,0.13,1.39,False,
660,Fintech,0.48,-0.31,False,
661,Retail,0.32,-0.14,False,
662,Fintech,0.83,-0.33,True,10.19
663,Retail,1.26,0.36,False,
664,AI,0.7,-0.97,True,10.67
665,Fintech,0.27,-0.79,False,
666,AI,0.32,-2.17,False,
667,Health,0.89,-0.4,False,
668,AI,0.96,1.06,False,
669,Fintech,0.6,-0.15,False,
670,Retail,0.6,-0.1,True,12.64
671,Retail,0.56,0.28,False,
672,Retail,0.67,-1.0,False,
673,AI,0.96,0.03,False,
674,Fintech,0.89,0.89,True,13.51
675,Games,0.55,0.31,False,
676,AI,0.52,0.98,False,
677,Health,0.5,1.26,False,
678,Retail,0.29,0.66,True,3.92
679,AI,0.29,-0.71,False,
680,Retail,0.83,-0.34,True,10.49
681,AI,0.31,1.93,False,
682,AI,1.04,0.31,True,42.33
683,AI,0.52,0.18,False,
684,Retail,1.04,-0.86,False,
685,Games,0.9,-0.09,False,
686,Retail,1.06,0.72,False,
687,Fintech,0.37,0.01,False,
688,Retail,0.75,-0.52,True,3.33
689,Games,0.98,-0.29,False,
690,Games,0.16,1.19,False,
691,Retail,2.11,0.67,False,
692,Retail,3.31,0.53,True,14.87
693,Games,1.15,0.44,False,
694,AI,1.03,-1.18,False,
695,Retail,0.87,0.27,False,
696,Fintech,0.42,1.07,False,
697,Retail,0.49,-0.26,False,
698,Fintech,1.17,0.98,True,15.89
699,AI,0.25,0.55,False,
700,Fintech,0.23,0.83,True,6.59
701,Health,0.39,0.05,False,
702,Fintech,0.91,0.89,True,13.81
703,Retail,0.27,-1.46,False,
704,Games,0.45,0.03,True,17.05
705,Fintech,0.5,0.71,True,15.22
706,Health,0.24,0.3,False,
707,Retail,0.08,1.1,True,20.94
708,Retail,0.24,-0.16,True,14.28
709,Fintech,0.67,-0.55,False,
710,Retail,0.8,-1.64,False,
711,AI,0.8,-0.27,False,
712,Games,0.88,0.52,False,
713,Retail,0.33,0.76,True,21.3
714,Health,0.28,-1.4,False,
715,AI,0.73,1.18,True,11.09
716,Games,0.46,-0.97,False,
717,Fintech,1.12,-0.12,False,
718,AI,0.73,-0.57,False,
719,AI,1.51,0.42,False,
720,Retail,0.37,0.09,False,
721,AI,1.27,0.68,False,
722,Health,2.75,1.84,True,27.6
723,Retail,0.56,0.4,False,
724,Retail,0.81,-0.58,False,
725,Health,0.26,0.46,True,11.55
726,Health,1.1,1.95,True,16.68
727,AI,1.33,0.66,False,
728,Health,0.36,0.95,True,24.54
729,AI,0.86,-1.59,False,
730,AI,0.68,0.39,False,
731,AI,0.74,-0.27,False,
732,Games,1.03,-0.68,True,25.88
733,AI,0.82,-0.02,False,
734,AI,0.48,0.11,True,7.64
735,Retail,1.05,-0.62,False,
736,AI,1.32,0.19,False,
737,Games,0.35,-0.17,False,
738,Health,0.54,0.7,False,
739,Health,0.13,0.23,False,
740,AI,0.86,0.38,False,
741,AI,1.44,0.98,True,21.57
742,Retail,0.44,0.55,False,
743,Health,0.6,-0.01,False,
744,AI,0.45,-2.09,False,
745,Fintech,0.4,0.51,False,
746,Health,0.65,-0.91,True,34.32
747,AI,0.29,-0.09,False,
748,Health,0.45,0.37,False,
749,Health,0.26,1.33,True,6.49
750,Games,0.87,1.84,False,
751,Retail,0.65,-0.92,False,
752,Health,0.38,-1.32,False,
753,Retail,0.56,0.33,False,
754,Health,0.45,0.24,False,
755,Health,1.35,-1.2,False,
756,Games,0.38,-0.02,True,14.47
757,Games,0.9,0.6,False,
758,AI,0.31,-1.23,True,24.72
759,Retail,1.04,-0.99,False,
760,Retail,1.24,-0.64,False,
761,Fintech,1.29,-0.21,True,5.96
762,Health,1.75,0.69,True,7.58
763,Retail,0.68,-0.33,False,
764,Retail,1.45,0.06,True,13.82
765,Games,1.98,2.25,False,
766,AI,0.22,-0.96,False,
767,Games,0.33,-0.65,False,
768,AI,0.16,0.68,True,13.64
769,Games,1.26,0.99,True,10.45
770,Games,0.16,0.41,True,11.88
771,Games,0.13,1.81,False,
772,AI,0.22,0.32,False,
773,Health,0.13,-1.98,False,
774,Games,0.67,0.1,False,
775,Fintech,0.23,-0.57,False,
