student_id,baseline_score,followup_score,change
197,64.9,57.4,-7.5
198,42.3,64.2,21.9
199,65.7,79.6,13.9
200,55.9,59.1,3.2
201,70.5,58.4,-12.1
202,34.5,50.4,15.9
203,47.7,39.0,-8.7
204,73.2,58.0,-15.2
205,58.5,58.3,-0.2
206,68.9,75.0,6.1
207,27.6,75.3,47.7
208,48.3,61.5,13.2
209,75.9,64.8,-11.1
210,65.6,65.7,0.1
211,46.7,47.6,0.9
212,73.0,52.6,-20.4
213,82.1,93.7,11.6
214,59.5,52.1,-7.4
215,68.5,68.7,0.2
216,90.9,65.6,-25.3
217,69.7,70.7,1.0
218,66.0,45.5,-20.5
219,89.1,81.9,-7.2
220,51.5,58.2,6.7
221,55.0,53.9,-1.1
222,71.5,75.5,4.0
223,80.7,79.9,-0.8
224,68.1,61.6,-6.5
225,66.7,72.2,5.5
226,86.7,87.0,0.3
227,72.2,72.0,-0.2
228,73.3,71.4,-1.9
229,78.9,59.2,-19.7
230,54.2,56.4,2.2
231,54.7,72.0,17.3
232,77.2,66.1,-11.1
233,73.6,70.3,-3.3
234,78.1,53.7,-24.4
235,77.8,66.6,-11.2
236,100.0,81.0,-19.0
237,65.7,73.0,7.3
238,95.7,68.9,-26.8
239,60.1,63.5,3.4
240,87.7,90.6,2.9
241,63.5,50.0,-13.5
242,46.4,52.7,6.3
243,80.5,58.1,-22.4
244,72.5,66.7,-5.8
245,45.7,68.7,23.0
246,67.8,61.6,-6.2
247,61.3,42.9,-18.4
248,100.0,81.5,-18.5
249,64.2,65.8,1.6
250,24.5,54.8,30.3
251,49.6,58.1,8.5
252,63.5,68.5,5.0
253,72.9,76.2,3.3
254,86.0,71.0,-15.0
255,75.6,77.6,2.0
256,67.6,44.8,-22.8
257,39.2,43.5,4.3
258,75.1,80.6,5.5
259,75.4,55.4,-20.0
260,59.1,72.1,13.0
261,79.4,76.8,-2.6
262,97.2,91.9,-5.3
263,74.4,69.3,-5.1
264,68.7,65.6,-3.1
265,70.4,78.3,7.9
266,72.4,57.6,-14.8
267,59.4,73.2,13.8
268,92.5,100.0,7.5
269,69.4,46.1,-23.3
270,63.4,72.1,8.7
271,81.5,71.9,-9.6
272,68.8,53.7,-15.1
273,68.2,80.0,11.8
274,100.0,94.9,-5.1
275,45.6,55.4,9.8
276,67.1,65.4,-1.7
277,99.7,98.9,-0.8
278,71.0,69.3,-1.7
279,52.1,67.4,15.3
280,89.0,100.0,11.0
281,85.7,53.0,-32.7
282,46.7,68.5,21.8
283,87.7,98.8,11.1
284,72.2,86.1,13.9
285,81.2,93.9,12.7
286,56.8,45.1,-11.7
287,93.8,86.1,-7.7
288,72.3,68.3,-4.0
289,74.7,89.8,15.1
290,87.6,81.9,-5.7
291,72.3,71.6,-0.7
292,84.4,92.1,7.7
293,78.3,74.5,-3.8
294,69.0,70.6,1.6
295,46.0,49.6,3.6
296,72.4,85.9,13.5
297,53.5,40.6,-12.9
298,57.8,65.3,7.5
299,59.3,57.7,-1.6
300,58.3,66.3,8.0
301,92.3,89.1,-3.2
302,58.3,42.1,-16.2
303,59.0,43.3,-15.7
304,54.7,35.9,-18.8
305,56.2,66.5,10.3
306,66.4,46.8,-19.6
307,43.4,59.6,16.2
308,96.9,84.5,-12.4
309,75.8,87.3,11.5
310,79.7,84.2,4.5
311,89.5,72.5,-17.0
312,46.5,78.1,31.6
313,51.9,74.1,22.2
314,65.8,69.2,3.4
315,100.0,95.7,-4.3
316,44.9,49.8,4.9
317,56.5,60.5,4.0
318,100.0,76.9,-23.1
319,58.1,65.9,7.8
320,71.5,74.1,2.6
321,76.0,76.7,0.7
322,67.9,85.9,18.0
323,68.3,71.1,2.8
324,56.6,84.4,27.8
325,58.1,58.9,0.8
326,61.4,51.2,-10.2
327,91.0,54.9,-36.1
328,93.6,100.0,6.4
329,78.7,90.4,11.7
330,75.2,73.0,-2.2
331,55.2,36.4,-18.8
332,71.5,64.9,-6.6
333,67.4,78.5,11.1
334,99.6,84.2,-15.4
335,71.8,68.3,-3.5
336,47.5,62.1,14.6
337,61.7,90.1,28.4
338,93.5,60.5,-33.0
339,98.8,82.3,-16.5
340,44.6,62.9,18.3
341,70.9,72.4,1.5
342,66.4,100.0,33.6
343,84.4,91.4,7.0
344,79.1,90.3,11.2
345,51.7,63.9,12.2
346,73.5,70.6,-2.9
347,67.4,88.2,20.8
348,70.0,57.7,-12.3
349,49.3,56.3,7.0
350,69.3,58.5,-10.8
351,62.4,100.0,37.6
352,25.5,50.6,25.1
353,89.3,90.1,0.8
354,81.0,57.9,-23.1
355,72.3,99.0,26.7
356,52.1,44.3,-7.8
357,83.8,79.2,-4.6
358,89.0,61.4,-27.6
359,95.1,87.8,-7.3
360,75.3,86.3,11.0
361,74.4,64.4,-10.0
362,87.8,96.8,9.0
363,70.1,59.2,-10.9
364,63.2,83.6,20.4
365,100.0,83.1,-16.9
366,84.0,93.6,9.6
367,39.7,65.0,25.3
368,74.5,93.8,19.3
369,77.9,83.6,5.7
370,51.6,66.8,15.2
371,62.0,70.7,8.7
372,100.0,66.4,-33.6
373,83.5,83.9,0.4
374,83.2,93.4,10.2
375,100.0,96.4,-3.6
376,60.7,59.1,-1.6
377,87.2,100.0,12.8
378,96.7,76.7,-20.0
379,70.6,75.0,4.4
380,100.0,95.1,-4.9
381,56.5,69.2,12.7
382,85.0,39.5,-45.5
383,57.6,70.7,13.1
384,78.7,55.6,-23.1
385,92.7,97.2,4.5
386,72.4,74.9,2.5
387,59.1,70.2,11.1
388,75.8,71.8,-4.0
389,45.3,79.5,34.2
390,50.1,59.9,9.8
391,73.8,68.5,-5.3
392,87.0,79.9,-7.1
393,68.2,86.5,18.3
394,76.2,80.1,3.9
395,57.1,36.4,-20.7
396,98.3,80.0,-18.3
397,49.0,73.3,24.3
398,72.6,93.8,21.2
399,71.0,63.2,-7.8
400,76.4,100.0,23.6
401,33.4,60.8,27.4
402,47.3,67.4,20.1
403,62.4,47.6,-14.8
404,82.4,83.6,1.2
405,78.2,77.9,-0.3
406,66.3,65.4,-0.9
407,67.3,57.2,-10.1
408,66.9,87.5,20.6
409,79.8,74.8,-5.0
410,63.8,55.8,-8.0
411,56.5,63.5,7.0
412,94.7,94.6,-0.1
413,77.6,60.0,-17.6
414,55.1,73.3,18.2
415,84.6,89.5,4.9
416,70.8,33.7,-37.1
417,90.2,98.0,7.8
418,73.9,74.1,0.2
419,66.9,52.1,-14.8
420,87.2,91.4,4.2
421,53.6,82.3,28.7
422,58.8,63.9,5.1
423,76.7,70.8,-5.9
424,55.0,78.7,23.7
425,59.0,84.2,25.2
426,71.9,82.6,10.7
427,67.9,71.2,3.3
428,75.6,85.6,10.0
429,48.9,49.7,0.8
430,100.0,82.9,-17.1
431,94.6,69.2,-25.4
432,58.0,53.5,-4.5
433,38.9,55.1,16.2
434,72.1,58.8,-13.3
435,77.2,56.6,-20.6
436,88.4,80.1,-8.3
437,100.0,88.8,-11.2
438,69.2,67.4,-1.8
439,65.9,90.3,24.4
440,58.9,96.9,38.0
441,40.7,42.8,2.1
442,51.7,61.3,9.6
443,63.6,74.4,10.8
444,67.3,76.0,8.7
445,61.9,39.0,-22.9
446,71.9,56.1,-15.8
447,92.9,78.3,-14.6
448,83.0,61.1,-21.9
449,57.8,61.9,4.1
450,76.6,66.6,-10.0
451,62.6,77.1,14.5
452,50.8,92.1,41.3
453,86.6,66.0,-20.6
454,83.4,81.6,-1.8
455,69.9,62.2,-7.7
456,68.0,67.4,-0.6
457,46.3,67.9,21.6
458,95.1,77.8,-17.3
459,60.6,44.0,-16.6
460,68.5,60.5,-8.0
461,69.6,48.3,-21.3
462,69.1,79.3,10.2
463,63.2,39.4,-23.8
464,87.9,95.5,7.6
465,64.3,78.2,13.9
466,57.7,82.0,24.3
467,89.2,94.7,5.5
468,66.2,78.0,11.8
469,45.8,67.7,21.9
470,52.9,85.4,32.5
471,56.2,53.9,-2.3
472,84.6,63.4,-21.2
473,54.7,94.0,39.3
474,64.7,66.7,2.0
475,63.0,44.1,-18.9
476,42.0,31.4,-10.6
477,71.2,76.0,4.8
478,85.6,76.0,-9.6
479,56.5,49.4,-7.1
480,52.7,79.0,26.3
481,63.2,89.2,26.0
482,83.3,81.0,-2.3
483,89.7,85.2,-4.5
484,88.0,85.3,-2.7
485,50.6,50.4,-0.2
486,72.6,43.0,-29.6
487,100.0,54.8,-45.2
488,66.4,66.0,-0.4
489,71.4,82.0,10.6
490,57.2,72.6,15.4
491,46.0,64.3,18.3
492,78.7,90.9,12.2
493,84.9,95.2,10.3
494,57.9,52.3,-5.6
495,60.6,60.0,-0.6
496,70.0,59.9,-10.1
497,65.5,74.4,8.9
498,68.4,43.6,-24.8
499,74.2,88.1,13.9
500,69.7,63.6,-6.1
501,66.4,65.4,-1.0
502,63.5,68.5,5.0
503,58.1,56.6,-1.5
504,73.7,68.8,-4.9
505,79.2,79.5,0.3
506,70.6,63.7,-6.9
507,67.7,80.4,12.7
508,57.0,61.3,4.3
509,94.8,70.4,-24.4
510,66.3,82.1,15.8
511,79.3,86.1,6.8
512,73.5,73.5,0.0
513,85.8,88.7,2.9
514,69.4,76.5,7.1
515,67.2,60.4,-6.8
516,51.8,75.7,23.9
517,67.4,87.7,20.3
518,32.0,70.6,38.6
519,75.6,65.7,-9.9
520,78.1,89.8,11.7
521,64.5,58.3,-6.2
522,75.6,93.5,17.9
523,91.5,62.9,-28.6
524,77.7,67.0,-10.7
525,71.9,67.0,-4.9
526,75.3,74.0,-1.3
527,60.4,76.6,16.2
528,95.0,97.2,2.2
529,57.0,75.4,18.4
530,75.1,77.7,2.6
531,63.3,41.1,-22.2
532,59.8,58.1,-1.7
533,59.3,79.6,20.3
534,73.2,68.5,-4.7
535,54.2,36.8,-17.4
536,71.8,74.5,2.7
537,66.6,68.0,1.4
538,69.9,78.4,8.5
539,76.5,100.0,23.5
540,60.2,44.8,-15.4
541,97.6,73.6,-24.0
542,100.0,94.9,-5.1
543,100.0,96.1,-3.9
544,87.7,88.6,0.9
545,86.6,66.4,-20.2
546,58.0,64.3,6.3
547,73.0,73.5,0.5
548,56.1,46.8,-9.3
549,88.1,75.6,-12.5
550,64.8,61.5,-3.3
551,60.0,76.9,16.9
552,62.0,60.0,-2.0
553,55.6,49.0,-6.6
554,77.3,55.1,-22.2
555,83.6,74.6,-9.0
556,40.1,56.2,16.1
557,90.8,77.1,-13.7
558,83.3,72.3,-11.0
559,59.7,75.7,16.0
560,84.4,58.4,-26.0
561,70.7,90.2,19.5
562,78.7,80.2,1.5
563,62.6,73.7,11.1
564,83.1,100.0,16.9
565,68.1,68.9,0.8
566,71.0,70.1,-0.9
567,48.8,60.2,11.4
568,65.2,83.3,18.1
569,71.4,71.3,-0.1
570,71.9,67.3,-4.6
571,81.9,86.1,4.2
572,100.0,82.5,-17.5
573,70.1,64.9,-5.2
574,72.0,60.5,-11.5
575,65.7,65.6,-0.1
576,62.3,77.6,15.3
577,70.5,60.9,-9.6
578,93.7,74.3,-19.4
579,88.0,82.3,-5.7
580,75.7,63.8,-11.9
581,92.9,99.3,6.4
582,40.7,77.7,37.0
583,70.2,66.4,-3.8
584,93.7,81.8,-11.9
585,71.2,71.3,0.1
586,68.2,50.4,-17.8
587,59.1,60.4,1.3
588,79.5,90.2,10.7
589,63.1,54.1,-9.0
590,94.5,73.5,-21.0
591,85.7,62.9,-22.8
592,100.0,100.0,0.0
593,62.2,80.5,18.3
594,70.8,92.0,21.2
595,70.7,70.0,-0.7
596,48.4,64.9,16.5
597,58.7,49.6,-9.1
598,73.4,75.6,2.2
599,91.7,87.2,-4.5
600,73.9,65.5,-8.4
601,83.7,75.8,-7.9
602,100.0,91.1,-8.9
603,66.8,56.2,-10.6
604,69.8,45.0,-24.8
605,50.9,58.6,7.7
606,75.3,77.8,2.5
607,61.4,55.3,-6.1
608,58.0,61.4,3.4
609,69.9,46.4,-23.5
610,65.4,96.6,31.2
611,49.1,74.7,25.6
612,74.5,78.3,3.8
613,60.5,62.6,2.1
614,49.8,55.9,6.1
615,54.3,63.8,9.5
616,69.1,78.0,8.9
617,79.8,60.0,-19.8
618,57.7,65.2,7.5
619,83.8,78.2,-5.6
620,91.4,77.0,-14.4
621,73.2,72.5,-0.7
622,74.8,73.0,-1.8
623,66.4,52.2,-14.2
624,79.6,65.6,-14.0
625,77.5,76.5,-1.0
626,60.0,61.3,1.3
627,75.1,58.3,-16.8
628,90.3,100.0,9.7
629,57.4,52.4,-5.0
630,77.0,97.1,20.1
631,90.7,88.0,-2.7
632,89.7,56.7,-33.0
633,59.5,82.2,22.7
634,66.6,57.4,-9.2
635,52.2,93.7,41.5
636,96.8,81.7,-15.1
637,68.5,74.5,6.0
638,97.5,100.0,2.5
639,66.1,68.7,2.6
640,85.0,81.0,-4.0
641,66.7,64.3,-2.4
642,85.3,75.2,-10.1
643,92.4,97.0,4.6
644,63.4,39.7,-23.7
645,66.1,92.7,26.6
646,54.0,70.0,16.0
647,64.3,60.4,-3.9
648,74.8,59.7,-15.1
649,66.4,82.7,16.3
650,44.1,64.7,20.6
651,81.9,87.6,5.7
652,57.7,66.3,8.6
653,59.1,73.7,14.6
654,79.5,81.8,2.3
655,60.5,72.4,11.9
656,55.8,68.6,12.8
657,100.0,100.0,0.0
658,96.6,99.4,2.8
659,100.0,91.4,-8.6
660,71.3,50.1,-21.2
661,80.2,92.2,12.0
662,55.8,77.5,21.7
663,62.5,71.5,9.0
664,74.6,85.7,11.1
665,100.0,100.0,0.0
666,72.5,52.2,-20.3
667,57.6,51.9,-5.7
668,60.2,39.6,-20.6
669,66.1,75.4,9.3
670,57.1,55.4,-1.7
671,98.8,72.2,-26.6
672,37.7,50.8,13.1
673,94.8,79.1,-15.7
674,58.1,45.0,-13.1
675,59.5,56.5,-3.0
676,67.9,61.4,-6.5
677,55.8,75.1,19.3
678,58.4,64.2,5.8
679,80.6,83.1,2.5
680,87.8,100.0,12.2
681,62.2,100.0,37.8
682,58.7,69.1,10.4
683,54.9,77.1,22.2
684,51.2,52.2,1.0
685,63.5,83.3,19.8
686,92.9,73.6,-19.3
687,59.1,64.9,5.8
688,88.1,76.3,-11.8
689,79.8,82.1,2.3
690,91.0,92.2,1.2
691,78.9,87.6,8.7
692,77.9,91.8,13.9
693,77.8,73.3,-4.5
694,69.0,78.2,9.2
695,81.2,68.8,-12.4
696,72.1,72.4,0.3
697,62.2,64.2,2.0
698,72.2,69.2,-3.0
699,43.4,86.8,43.4
700,82.4,90.4,8.0
701,64.3,70.4,6.1
702,67.3,75.6,8.3
703,50.4,54.2,3.8
704,81.3,49.3,-32.0
705,54.6,50.1,-4.5
706,100.0,87.0,-13.0
707,63.7,45.8,-17.9
708,64.7,73.0,8.3
709,55.9,33.5,-22.4
710,88.1,67.5,-20.6
711,72.7,68.2,-4.5
712,61.9,85.1,23.2
713,90.8,77.5,-13.3
714,68.2,51.7,-16.5
715,50.7,69.3,18.6
716,74.4,54.8,-19.6
717,73.1,76.4,3.3
718,73.1,84.5,11.4
719,46.3,59.8,13.5
720,89.0,100.0,11.0
721,63.4,83.4,20.0
722,59.6,66.7,7.1
723,78.9,71.2,-7.7
724,66.8,66.1,-0.7
725,64.8,50.8,-14.0
726,76.9,51.5,-25.4
727,69.2,91.8,22.6
728,79.5,100.0,20.5
729,34.6,36.7,2.1
730,72.4,83.1,10.7
731,71.7,51.3,-20.4
732,80.0,60.6,-19.4
733,73.8,86.6,12.8
734,50.8,37.2,-13.6
735,79.4,55.2,-24.2
736,66.2,100.0,33.8
737,65.2,62.5,-2.7
738,70.4,42.8,-27.6
739,63.7,87.9,24.2
740,76.5,51.5,-25.0
741,66.9,79.2,12.3
742,60.4,76.2,15.8
743,75.6,77.7,2.1
744,85.6,87.0,1.4
745,64.0,51.5,-12.5
746,78.4,66.3,-12.1
747,88.4,73.0,-15.4
748,66.7,57.6,-9.1
749,100.0,69.4,-30.6
750,69.8,49.0,-20.8
751,76.4,70.9,-5.5
752,48.7,39.3,-9.4
753,69.8,58.5,-11.3
754,77.6,80.1,2.5
755,68.8,74.8,6.0
756,52.8,55.5,2.7
757,49.4,77.3,27.9
758,92.3,70.5,-21.8
759,85.1,66.9,-18.2
760,41.9,63.8,21.9
761,73.1,76.2,3.1
762,84.9,71.3,-13.6
763,83.3,80.3,-3.0
764,51.8,44.7,-7.1
765,83.3,67.9,-15.4
766,79.4,90.8,11.4
767,80.0,86.9,6.9
768,63.1,84.1,21.0
769,35.3,98.7,63.4
770,62.3,67.2,4.9
771,68.0,41.1,-26.9
772,59.1,58.5,-0.6
773,79.6,79.4,-0.2
774,68.9,65.2,-3.7
775,62.9,60.6,-2.3
776,69.5,63.0,-6.5
777,55.5,71.3,15.8
778,36.0,48.0,12.0
779,54.9,48.2,-6.7
780,76.0,63.0,-13.0
781,66.5,70.9,4.4
782,65.0,70.2,5.2
783,61.9,65.7,3.8
784,74.6,75.7,1.1
785,93.5,75.6,-17.9
786,92.6,84.8,-7.8
787,81.8,78.4,-3.4
788,39.6,65.9,26.3
789,66.7,98.3,31.6
790,59.0,60.8,1.8
791,73.8,82.4,8.6
792,94.9,75.0,-19.9
793,72.1,72.7,0.6
794,69.3,82.1,12.8
795,51.2,75.4,24.2
796,90.0,68.5,-21.5
797,42.6,49.4,6.8
798,83.5,82.5,-1.0
799,78.7,67.8,-10.9
800,76.0,44.6,-31.4
801,48.3,59.5,11.2
802,56.8,40.6,-16.2
803,66.4,75.7,9.3
804,57.9,69.7,11.8
805,74.0,96.0,22.0
806,42.0,66.2,24.2
807,64.5,95.1,30.6
808,75.6,80.2,4.6
809,84.4,96.4,12.0
810,72.2,56.8,-15.4
811,81.2,89.3,8.1
812,50.6,56.0,5.4
813,52.0,90.0,38.0
814,86.2,97.7,11.5
815,72.1,75.3,3.2
816,90.0,98.0,8.0
817,89.8,73.0,-16.8
818,70.0,54.8,-15.2
819,76.0,81.7,5.7
820,57.3,61.9,4.6
821,72.2,42.6,-29.6
822,49.6,56.8,7.2
823,59.6,80.6,21.0
824,66.6,87.0,20.4
825,67.9,90.8,22.9
826,68.5,50.8,-17.7
827,61.1,47.3,-13.8
828,84.8,81.4,-3.4
829,36.2,57.3,21.1
830,90.2,63.1,-27.1
831,83.5,84.9,1.4
832,68.7,62.4,-6.3
833,76.1,81.4,5.3
834,87.6,59.8,-27.8
835,68.0,72.7,4.7
836,52.4,50.4,-2.0
837,58.1,72.7,14.6
838,74.5,61.2,-13.3
839,65.6,41.2,-24.4
840,72.6,43.2,-29.4
841,72.8,80.6,7.8
842,68.7,80.1,11.4
843,74.4,89.2,14.8
844,86.6,76.8,-9.8
845,59.5,84.6,25.1
846,56.9,75.5,18.6
847,75.3,85.9,10.6
848,82.7,78.0,-4.7
849,40.1,42.8,2.7
850,77.6,66.8,-10.8
851,52.7,43.8,-8.9
852,96.9,61.9,-35.0
853,53.9,57.8,3.9
854,64.9,54.7,-10.2
855,57.0,58.9,1.9
856,65.4,78.9,13.5
857,67.7,53.3,-14.4
858,100.0,100.0,0.0
859,78.1,54.6,-23.5
860,59.9,70.8,10.9
861,56.6,48.9,-7.7
862,62.6,84.7,22.1
863,84.2,51.2,-33.0
864,60.2,66.6,6.4
865,68.9,45.9,-23.0
866,50.3,44.0,-6.3
867,75.9,72.3,-3.6
868,46.3,61.7,15.4
869,97.4,81.9,-15.5
870,65.9,76.1,10.2
871,42.3,64.2,21.9
872,82.5,85.7,3.2
873,50.1,61.8,11.7
874,82.3,86.0,3.7
875,94.6,92.2,-2.4
876,91.2,88.0,-3.2
877,79.7,92.9,13.2
878,39.6,62.3,22.7
879,62.7,79.4,16.7
880,55.2,67.7,12.5
881,60.2,81.2,21.0
882,87.1,64.9,-22.2
883,68.5,54.8,-13.7
884,73.4,58.7,-14.7
885,40.3,49.9,9.6
886,51.2,87.0,35.8
887,82.9,76.0,-6.9
888,71.1,65.8,-5.3
889,77.1,82.3,5.2
890,53.9,42.7,-11.2
891,57.2,61.0,3.8
892,53.4,50.3,-3.1
893,84.2,55.8,-28.4
894,92.2,79.8,-12.4
895,52.9,68.2,15.3
896,34.9,75.0,40.1
897,77.3,78.8,1.5
898,83.7,55.7,-28.0
899,78.0,93.9,15.9
900,79.2,58.9,-20.3
901,54.7,70.7,16.0
902,80.2,66.1,-14.1
903,77.5,84.6,7.1
904,78.2,71.5,-6.7
905,45.1,49.0,3.9
906,93.1,66.1,-27.0
907,51.2,100.0,48.8
908,84.9,83.8,-1.1
909,32.5,43.1,10.6
910,70.9,92.1,21.2
911,93.9,66.1,-27.8
912,64.2,84.2,20.0
913,60.5,65.4,4.9
914,74.5,83.8,9.3
915,66.2,76.5,10.3
916,69.4,54.0,-15.4
917,72.9,54.4,-18.5
918,72.7,89.9,17.2
919,84.5,75.9,-8.6
920,56.2,90.0,33.8
921,47.7,74.7,27.0
922,68.6,67.4,-1.2
923,73.0,72.2,-0.8
924,76.5,99.0,22.5
925,70.8,100.0,29.2
926,73.3,65.9,-7.4
927,57.0,86.7,29.7
928,62.6,76.4,13.8
929,68.8,86.9,18.1
930,53.2,54.8,1.6
931,84.5,62.2,-22.3
932,82.7,85.8,3.1
933,26.3,39.3,13.0
934,64.4,94.5,30.1
935,60.0,73.9,13.9
936,38.9,61.3,22.4
937,81.3,72.4,-8.9
938,81.9,69.4,-12.5
939,72.7,56.8,-15.9
940,52.3,80.5,28.2
941,84.6,63.6,-21.0
942,71.6,79.5,7.9
943,70.1,53.2,-16.9
944,66.8,55.6,-11.2
945,63.8,46.6,-17.2
946,54.0,54.3,0.3
947,95.2,67.1,-28.1
948,80.0,85.1,5.1
949,54.3,66.1,11.8
950,73.8,66.0,-7.8
951,77.0,60.7,-16.3
952,70.7,89.6,18.9
953,55.9,65.4,9.5
954,62.1,66.7,4.6
955,59.4,41.9,-17.5
956,62.2,54.2,-8.0
957,56.3,73.0,16.7
958,49.0,67.9,18.9
959,81.5,82.3,0.8
960,88.1,68.1,-20.0
961,57.3,80.7,23.4
962,61.0,73.4,12.4
963,68.3,71.2,2.9
964,78.5,68.7,-9.8
965,82.8,69.9,-12.9
