customer_id,signup_date,age,tenure_months,plan,support_tickets,last_login_days_ago,refund_after_churn,churned
C00109,2023-01-12,,31.2,basic,1,6,False,False
C00110,2020-10-07,32.0,29.3,free,0,5,False,False
C00111,2020-06-08,27.0,16.5,pro,1,8,False,False
C00112,2020-02-13,38.0,12.0,free,3,2,False,False
C00113,2020-03-09,40.0,11.4,free,2,143,True,True
C00114,2022-04-22,59.0,13.1,basic,2,16,False,False
C00115,2020-06-07,27.0,5.7,free,0,4,False,False
C00116,2021-02-21,58.0,11.1,basic,1,87,False,True
C00117,2022-05-30,64.0,2.3,basic,1,51,False,True
C00118,2022-08-06,67.0,22.0,free,1,25,False,False
C00119,2022-04-27,27.0,2.1,basic,1,24,False,False
C00120,2020-02-04,55.0,0.5,basic,1,7,False,False
C00121,2020-07-28,58.0,34.3,free,2,4,False,False
C00122,2021-01-18,30.0,30.4,free,1,25,False,False
C00123,2022-05-14,37.0,23.6,pro,3,106,True,True
C00124,2022-12-03,40.0,6.4,free,1,1,False,False
C00125,2023-09-08,68.0,47.8,basic,0,10,False,False
C00126,2023-10-23,40.0,37.8,free,3,14,False,False
C00127,2021-04-07,71.0,0.9,free,2,5,False,False
C00128,2021-06-03,40.0,25.3,basic,0,11,False,False
C00129,2022-11-29,55.0,1.6,free,1,141,False,True
C00130,2020-09-12,31.0,7.0,pro,0,15,False,False
C00131,2022-10-28,73.0,8.9,free,0,16,False,False
C00132,2022-03-29,46.0,10.7,free,2,147,False,True
C00133,2022-04-14,64.0,13.0,basic,0,18,False,False
C00134,2021-01-21,45.0,9.7,basic,0,21,False,False
C00135,2021-11-12,52.0,22.8,pro,0,22,False,False
C00136,2022-12-12,51.0,2.2,free,6,26,False,False
C00137,2020-05-13,63.0,29.1,free,0,0,False,False
C00138,2020-04-28,72.0,14.2,free,1,3,False,False
C00139,2020-03-03,22.0,4.8,free,0,80,False,True
C00140,2020-11-22,20.0,6.7,free,1,166,False,True
C00141,2020-03-21,27.0,8.7,free,0,9,False,False
C00142,2022-06-06,64.0,16.8,free,1,15,False,False
C00143,2020-08-23,32.0,16.7,free,0,4,False,False
C00144,2020-09-11,40.0,2.7,free,0,16,False,False
C00145,2021-05-06,48.0,5.4,pro,1,3,False,False
C00146,2021-01-18,23.0,13.9,basic,2,2,False,False
C00147,2021-03-29,70.0,36.6,basic,0,9,False,False
C00148,2022-10-10,64.0,6.0,basic,0,0,False,False
C00149,2023-06-08,65.0,21.0,free,1,29,False,False
C00150,2021-12-17,49.0,26.8,free,0,101,False,True
C00151,2022-10-08,53.0,25.2,free,0,20,False,False
C00152,2021-04-28,34.0,14.3,free,2,14,False,False
C00153,2023-07-22,35.0,6.0,free,1,22,False,False
C00154,2020-04-20,33.0,21.9,basic,1,7,False,False
C00155,2023-01-17,46.0,35.0,free,1,29,False,False
C00156,2022-12-12,36.0,34.7,free,2,4,False,False
C00157,2020-12-27,63.0,54.9,free,2,28,False,False
C00158,2023-02-07,72.0,5.8,pro,0,29,False,False
C00159,2021-12-23,60.0,2.4,basic,1,26,False,False
C00160,2020-05-02,27.0,14.1,pro,3,20,False,False
C00161,2021-12-09,55.0,1.8,free,0,23,False,False
C00162,2020-06-09,18.0,21.9,basic,0,23,False,False
C00163,2021-07-30,24.0,6.6,free,0,12,False,False
C00164,2021-07-31,70.0,11.2,free,0,21,False,False
C00165,2023-12-26,67.0,19.1,basic,0,7,False,False
C00166,2021-02-23,70.0,52.0,free,2,16,False,False
C00167,2020-10-05,60.0,18.1,free,1,3,False,False
C00168,2023-10-24,50.0,0.9,free,1,70,False,True
C00169,2022-02-08,64.0,10.0,free,1,8,False,False
C00170,2023-05-17,60.0,15.3,free,0,61,False,True
C00171,2020-07-15,19.0,14.6,free,2,19,False,False
C00172,2021-09-30,42.0,8.5,pro,0,18,False,False
C00173,2021-12-22,61.0,23.7,basic,0,28,False,False
C00174,2023-02-13,20.0,4.7,basic,1,132,True,True
C00175,2023-09-30,41.0,3.8,pro,0,24,False,False
C00176,2021-04-03,31.0,7.5,basic,1,29,False,False
C00177,2022-12-17,29.0,38.6,free,1,29,False,False
C00178,2023-11-08,67.0,67.2,free,1,16,False,False
C00179,2020-06-16,26.0,16.7,basic,1,29,False,False
C00180,2020-12-10,53.0,3.1,basic,2,24,False,False
C00181,2021-06-30,47.0,2.2,basic,0,0,False,False
C00182,2023-06-14,45.0,9.4,free,1,82,True,True
C00183,2022-08-22,,9.5,pro,0,10,False,False
C00184,2021-10-13,74.0,27.7,free,1,0,False,False
C00185,2022-12-20,27.0,2.5,free,2,7,False,False
C00186,2021-04-18,45.0,20.4,free,2,6,False,False
C00187,2021-10-13,44.0,46.1,free,2,3,False,False
C00188,2023-01-23,33.0,16.9,free,0,168,False,True
C00189,2021-12-28,29.0,86.0,free,0,11,False,False
C00190,2020-02-08,,8.4,pro,1,22,False,False
C00191,2022-11-23,71.0,13.9,free,0,27,False,False
C00192,2023-09-29,36.0,24.0,free,1,21,False,False
C00193,2020-03-25,56.0,3.2,free,0,8,False,False
C00194,2022-01-17,52.0,30.4,free,1,7,False,False
C00195,2021-12-06,39.0,42.8,pro,0,14,False,False
C00196,2022-06-15,63.0,20.7,pro,0,3,False,False
C00197,2021-09-07,56.0,42.5,pro,1,17,False,False
C00198,2021-04-23,71.0,4.2,pro,0,27,False,False
C00199,2021-11-09,53.0,9.9,basic,1,8,False,False
C00200,2023-06-20,48.0,0.8,pro,0,142,False,True
C00201,2022-04-23,,66.5,free,0,15,False,False
C00202,2020-11-26,33.0,15.1,basic,2,1,False,False
C00203,2021-07-04,29.0,55.7,free,1,27,False,False
C00204,2020-10-22,68.0,8.6,free,2,166,False,True
C00205,2021-03-01,66.0,50.3,basic,1,21,False,False
C00206,2023-06-30,67.0,21.3,basic,2,80,False,True
C00207,2021-07-13,56.0,33.6,free,0,24,False,False
C00208,2023-10-22,56.0,36.5,pro,2,12,False,False
C00209,2020-03-16,47.0,1.6,free,0,139,True,True
C00210,2022-12-26,72.0,9.2,basic,0,14,False,False
C00211,2021-04-05,21.0,14.5,basic,0,6,False,False
C00212,2020-09-17,39.0,12.0,free,1,7,False,False
C00213,2022-02-21,48.0,8.7,free,2,25,False,False
C00214,2020-05-12,,11.9,basic,0,1,False,False
C00215,2020-12-18,53.0,9.7,pro,1,12,False,False
C00216,2023-06-08,43.0,10.7,free,1,2,False,False
C00217,2021-05-05,49.0,13.7,free,0,13,False,False
C00218,2021-06-27,60.0,2.0,basic,0,1,False,False
C00219,2020-01-22,70.0,1.4,free,0,142,True,True
C00220,2023-04-21,27.0,23.7,free,1,9,False,False
C00221,2023-12-12,58.0,0.8,pro,1,10,False,False
C00222,2022-03-02,67.0,44.5,free,2,15,False,False
C00223,2022-03-11,60.0,4.5,basic,1,118,True,True
C00224,2021-09-23,68.0,26.1,free,3,14,False,False
C00225,2020-10-18,51.0,10.6,free,4,107,True,True
C00226,2022-06-14,54.0,7.0,free,0,6,False,False
C00227,2023-11-20,49.0,26.7,basic,0,20,False,False
C00228,2022-01-07,29.0,26.7,pro,1,29,False,False
C00229,2023-09-13,29.0,34.9,free,0,18,False,False
C00230,2023-06-14,57.0,9.9,free,3,8,False,False
C00231,2022-01-11,58.0,12.6,free,3,37,False,True
C00232,2021-01-10,51.0,17.5,basic,1,21,False,False
C00233,2023-04-24,70.0,25.7,free,1,16,False,False
C00234,2020-01-26,18.0,3.0,pro,1,12,False,False
C00235,2021-01-19,46.0,11.7,basic,2,12,False,False
C00236,2020-01-04,33.0,5.4,free,1,18,False,False
C00237,2021-11-17,48.0,2.4,free,2,179,True,True
C00238,2023-06-10,21.0,35.9,basic,1,0,False,False
C00239,2022-03-09,56.0,4.3,basic,0,11,False,False
C00240,2022-11-06,46.0,34.2,free,1,3,False,False
C00241,2021-05-02,30.0,0.7,free,1,8,False,False
C00242,2020-02-07,25.0,20.1,pro,1,15,False,False
C00243,2020-06-05,27.0,15.1,free,0,14,False,False
C00244,2023-05-27,36.0,20.0,basic,0,3,False,False
C00245,2024-01-29,,20.4,free,0,3,False,False
C00246,2023-04-30,28.0,6.2,free,4,57,False,True
C00247,2022-02-03,,11.7,free,4,21,False,False
C00248,2021-10-02,72.0,28.0,free,2,131,True,True
C00249,2020-09-09,29.0,0.8,pro,1,1,False,False
C00250,2021-08-13,28.0,31.4,free,1,23,False,False
C00251,2021-12-06,27.0,12.6,basic,0,25,False,False
C00252,2020-02-09,38.0,18.0,free,0,5,False,False
C00253,2020-10-18,73.0,33.5,free,1,12,False,False
C00254,2023-10-19,23.0,9.5,basic,1,22,False,False
C00255,2022-03-16,70.0,7.2,basic,0,26,False,False
C00256,2021-06-28,74.0,46.1,pro,1,54,False,True
C00257,2021-01-31,27.0,3.4,free,2,15,False,False
C00258,2023-10-19,,8.0,basic,1,12,False,False
C00259,2022-01-31,43.0,20.4,free,3,1,False,False
C00260,2023-02-15,33.0,6.5,free,0,150,False,True
C00261,2021-08-28,43.0,0.6,basic,1,11,False,False
C00262,2022-10-14,59.0,7.5,basic,0,13,False,False
C00263,2020-10-27,65.0,9.6,free,3,66,False,True
C00264,2020-10-30,19.0,93.7,basic,0,163,False,True
C00265,2020-09-17,71.0,5.5,basic,1,26,False,False
C00266,2022-10-07,55.0,15.1,basic,2,4,False,False
C00267,2021-06-24,25.0,32.0,free,2,28,False,False
C00268,2020-10-07,41.0,41.6,basic,0,2,False,False
C00269,2020-07-22,,34.1,free,0,29,False,False
C00270,2020-11-13,21.0,11.1,basic,2,6,False,False
C00271,2021-01-18,41.0,20.5,pro,0,141,False,True
C00272,2023-05-07,,5.3,free,4,140,False,True
C00273,2021-06-06,58.0,23.3,free,0,29,False,False
C00274,2020-02-10,21.0,0.4,basic,2,5,False,False
C00275,2022-07-13,24.0,5.5,free,2,24,False,False
C00276,2022-01-23,72.0,1.6,free,1,24,False,False
C00277,2020-08-02,53.0,13.5,basic,1,6,False,False
C00278,2021-03-25,62.0,5.2,pro,1,24,False,False
C00279,2020-04-24,,1.6,free,2,19,False,False
C00280,2021-02-26,47.0,34.5,basic,1,5,False,False
C00281,2021-08-25,73.0,16.6,pro,0,26,False,False
C00282,2021-01-19,38.0,19.9,basic,1,150,True,True
C00283,2022-09-05,53.0,46.0,free,1,22,False,True
C00284,2022-04-07,33.0,24.3,basic,0,20,False,False
C00285,2023-06-04,21.0,8.1,free,1,7,False,False
C00286,2021-05-28,47.0,33.1,free,3,10,False,False
C00287,2022-12-05,51.0,5.2,pro,1,17,False,False
C00288,2021-01-06,,0.8,free,2,21,False,False
C00289,2021-11-07,62.0,7.6,free,1,129,True,True
C00290,2021-08-19,48.0,22.7,free,0,21,False,False
C00291,2022-02-15,66.0,7.4,basic,1,61,True,True
C00292,2022-04-02,66.0,34.1,basic,2,11,False,False
C00293,2021-08-31,67.0,28.4,free,2,4,False,False
C00294,2022-09-23,18.0,13.7,free,2,28,False,False
C00295,2021-09-21,55.0,1.9,basic,0,7,False,False
C00296,2020-07-23,38.0,2.9,free,0,5,False,False
C00297,2021-11-27,31.0,34.7,basic,2,23,False,False
C00298,2020-05-03,33.0,11.2,basic,0,17,False,False
C00299,2021-08-28,74.0,16.6,free,1,108,False,True
C00300,2023-08-09,18.0,54.0,basic,0,5,False,False
C00301,2020-05-26,71.0,9.7,free,1,3,False,False
C00302,2021-04-25,32.0,9.6,pro,0,11,False,False
C00303,2022-11-23,26.0,25.1,basic,0,29,False,False
C00304,2021-09-04,32.0,17.2,basic,0,5,False,False
C00305,2022-10-04,38.0,33.7,pro,0,26,False,False
C00306,2023-09-14,31.0,13.1,basic,0,11,False,False
C00307,2022-10-17,,0.1,basic,2,103,True,True
C00308,2022-06-09,18.0,2.0,free,0,18,False,False
C00309,2020-01-19,23.0,13.9,free,5,15,False,True
C00310,2023-11-30,25.0,29.7,pro,2,28,False,False
C00311,2021-09-29,37.0,28.9,pro,1,26,False,False
C00312,2023-07-30,24.0,3.6,free,1,3,False,False
C00313,2021-11-03,22.0,11.6,free,2,133,False,True
C00314,2021-12-29,51.0,63.2,pro,0,18,False,False
C00315,2024-01-03,20.0,0.0,free,1,21,False,False
C00316,2023-03-13,37.0,23.7,basic,1,8,False,False
C00317,2022-10-13,35.0,1.8,free,0,20,False,False
C00318,2020-07-17,49.0,16.2,free,2,8,False,False
C00319,2023-09-12,60.0,10.6,free,0,5,False,False
C00320,2021-10-05,38.0,8.9,basic,0,18,False,False
C00321,2022-11-21,74.0,43.7,free,2,5,False,False
C00322,2021-11-08,52.0,14.9,basic,0,140,True,True
C00323,2023-01-06,24.0,25.8,basic,1,29,False,False
C00324,2020-07-17,49.0,51.4,basic,1,18,False,False
C00325,2022-11-29,18.0,10.7,free,0,0,False,False
C00326,2022-01-27,62.0,55.6,pro,0,19,False,False
C00327,2023-01-26,64.0,0.4,free,2,161,False,True
C00328,2023-11-01,65.0,12.6,basic,0,1,False,False
C00329,2022-06-12,52.0,5.2,basic,1,19,False,False
C00330,2020-09-24,43.0,13.8,pro,2,26,False,False
C00331,2020-12-08,26.0,6.9,basic,0,18,False,False
C00332,2022-07-19,64.0,27.4,free,1,16,False,False
C00333,2023-06-30,62.0,5.5,pro,0,11,False,False
C00334,2022-08-04,26.0,6.5,free,0,8,False,False
C00335,2024-02-02,50.0,11.1,pro,1,14,False,False
C00336,2022-10-01,43.0,11.7,free,1,11,False,False
C00337,2024-01-07,62.0,29.7,basic,3,10,False,False
C00338,2020-10-13,,43.4,free,2,21,False,True
C00339,2021-12-17,57.0,31.5,basic,0,0,False,False
C00340,2020-04-27,73.0,2.1,free,0,29,False,False
C00341,2022-11-25,26.0,8.2,pro,2,10,False,False
C00342,2022-02-03,41.0,8.1,free,1,16,False,False
C00343,2023-05-22,49.0,19.0,free,0,13,False,False
C00344,2020-12-08,51.0,1.6,basic,1,19,False,False
C00345,2021-03-20,71.0,1.8,basic,1,8,False,False
C00346,2020-02-04,64.0,18.7,basic,1,23,False,False
C00347,2023-04-01,32.0,9.6,free,2,100,False,True
C00348,2020-12-28,41.0,17.1,free,0,27,False,False
C00349,2023-10-08,54.0,17.1,free,0,27,False,False
C00350,2021-11-03,41.0,33.8,free,1,15,False,False
C00351,2023-07-31,47.0,0.7,basic,1,52,False,True
C00352,2022-01-05,46.0,11.9,pro,0,3,False,False
C00353,2023-06-11,58.0,29.3,free,1,26,False,False
C00354,2021-09-19,69.0,2.3,free,3,25,False,False
C00355,2022-05-24,68.0,22.5,basic,1,11,False,False
C00356,2020-11-21,40.0,8.2,free,0,171,False,True
C00357,2020-03-27,,6.2,basic,0,12,False,False
C00358,2022-05-25,27.0,4.4,pro,0,28,False,False
C00359,2022-06-19,33.0,7.1,basic,1,0,False,False
C00360,2021-04-26,27.0,2.1,pro,0,8,False,False
C00361,2023-05-02,60.0,43.0,free,1,2,False,False
C00362,2021-10-13,46.0,65.0,basic,1,13,False,False
C00363,2022-05-14,39.0,3.5,free,1,1,False,False
C00364,2023-07-12,58.0,2.0,pro,0,23,False,False
C00365,2022-04-30,55.0,18.8,free,1,31,False,True
C00366,2021-12-05,41.0,23.7,basic,0,3,False,False
C00367,2020-01-18,41.0,10.9,free,0,1,False,False
C00368,2020-09-25,48.0,35.2,basic,0,9,False,False
C00369,2023-07-15,37.0,19.1,basic,3,4,False,False
C00370,2023-08-20,45.0,7.5,basic,0,27,False,False
C00371,2024-01-02,56.0,3.9,free,0,11,False,False
C00372,2022-09-28,66.0,9.5,free,0,29,False,False
C00373,2020-09-10,46.0,25.7,free,0,26,False,False
C00374,2020-01-24,24.0,13.4,basic,1,22,False,False
C00375,2021-12-20,59.0,6.4,basic,0,12,False,False
C00376,2023-03-06,63.0,8.8,basic,1,28,False,False
C00377,2020-01-21,36.0,14.9,free,4,12,False,False
C00378,2020-08-15,23.0,34.8,pro,0,23,False,False
C00379,2020-02-20,68.0,21.6,basic,2,137,True,True
C00380,2023-06-22,40.0,10.5,basic,2,20,False,False
C00381,2022-01-15,59.0,9.9,basic,0,12,False,False
C00382,2024-01-15,59.0,5.6,basic,1,172,True,True
C00383,2021-07-25,74.0,44.1,free,3,29,False,True
C00384,2023-07-20,46.0,8.3,basic,0,6,False,False
C00385,2023-01-09,55.0,42.3,free,1,13,False,False
C00386,2024-01-25,21.0,14.7,free,2,27,False,False
C00387,2021-05-29,32.0,52.6,pro,0,1,False,False
C00388,2022-11-22,24.0,73.0,pro,1,9,False,False
C00389,2022-05-04,72.0,28.6,basic,1,23,False,False
C00390,2020-12-27,71.0,12.7,basic,1,139,False,True
C00391,2023-08-17,73.0,3.3,free,2,147,True,True
C00392,2020-10-12,38.0,3.1,basic,0,20,False,False
C00393,2023-05-23,68.0,69.1,free,1,15,False,False
C00394,2022-12-05,56.0,8.4,free,1,125,False,True
C00395,2020-12-16,30.0,33.3,pro,2,8,False,False
C00396,2020-09-20,21.0,2.0,free,0,22,False,False
C00397,2022-02-17,29.0,9.6,pro,0,21,False,False
C00398,2021-05-02,71.0,10.4,basic,1,18,False,False
C00399,2020-02-04,22.0,18.8,free,2,2,False,False
C00400,2021-09-13,59.0,12.9,basic,2,14,False,False
C00401,2022-05-10,67.0,55.3,basic,0,20,False,False
C00402,2022-02-25,51.0,64.5,free,1,24,False,False
C00403,2020-05-30,74.0,16.4,basic,1,2,False,False
C00404,2022-02-04,55.0,23.9,free,4,16,False,False
C00405,2023-10-08,61.0,11.8,basic,1,22,False,False
C00406,2021-02-14,25.0,34.8,basic,2,27,False,False
C00407,2023-04-15,46.0,21.6,free,2,11,False,False
C00408,2022-12-30,71.0,1.2,basic,1,15,False,False
C00409,2023-10-08,73.0,5.8,free,1,19,False,False
C00410,2023-12-28,74.0,3.7,free,3,118,True,True
C00411,2021-06-27,51.0,16.1,free,2,125,False,True
C00412,2023-10-25,30.0,21.4,pro,2,0,False,False
C00413,2021-02-19,68.0,22.6,basic,0,13,False,False
C00414,2020-07-16,53.0,2.5,basic,0,14,False,False
C00415,2022-03-03,52.0,43.7,free,0,16,False,False
C00416,2023-09-17,57.0,48.0,basic,5,20,False,False
C00417,2020-10-03,23.0,0.7,free,2,89,False,True
C00418,2020-07-08,,4.7,basic,2,14,False,False
C00419,2022-10-17,61.0,3.1,free,2,11,False,False
C00420,2020-10-11,71.0,5.2,free,4,27,False,False
C00421,2022-03-27,67.0,23.0,free,2,170,True,True
C00422,2020-08-13,29.0,0.7,pro,2,20,False,False
C00423,2022-03-17,40.0,0.1,basic,0,8,False,False
C00424,2020-04-22,36.0,44.8,pro,0,5,False,False
C00425,2021-11-12,72.0,17.6,free,0,21,False,False
C00426,2022-10-22,50.0,5.5,free,1,6,False,False
C00427,2023-03-10,36.0,86.7,pro,1,3,False,False
C00428,2020-11-28,29.0,0.1,basic,0,8,False,False
C00429,2021-11-10,30.0,12.6,free,2,1,False,False
C00430,2021-04-04,25.0,22.9,pro,3,11,False,False
C00431,2020-01-04,68.0,17.0,basic,2,66,False,True
C00432,2021-10-16,50.0,4.0,free,3,100,False,True
C00433,2022-07-17,24.0,17.7,free,2,25,False,False
C00434,2022-04-28,47.0,6.2,free,2,9,False,False
C00435,2022-11-29,33.0,56.5,pro,0,5,False,False
C00436,2021-01-05,44.0,74.1,free,2,16,False,False
C00437,2023-02-10,33.0,14.4,pro,0,146,False,True
C00438,2020-04-04,69.0,9.3,free,1,11,False,False
C00439,2022-07-28,29.0,52.5,free,3,3,False,False
C00440,2020-11-05,57.0,31.7,basic,1,29,False,False
C00441,2021-01-22,31.0,4.8,free,0,145,False,True
C00442,2022-06-25,71.0,1.5,free,0,13,False,False
C00443,2021-05-02,41.0,3.8,pro,1,7,False,False
C00444,2020-04-19,,2.8,basic,0,5,False,False
C00445,2023-08-11,25.0,57.8,pro,0,4,False,False
C00446,2023-09-22,38.0,11.5,free,2,20,False,False
C00447,2021-10-28,35.0,20.3,basic,1,4,False,False
C00448,2023-12-13,20.0,4.1,free,1,17,False,False
C00449,2023-05-03,56.0,1.3,free,1,6,False,False
C00450,2021-08-18,57.0,7.1,free,0,0,False,False
C00451,2021-07-30,43.0,22.4,pro,2,10,False,False
C00452,2021-04-17,69.0,49.6,basic,2,170,False,True
C00453,2023-04-05,57.0,14.4,basic,0,19,False,True
C00454,2020-05-25,54.0,13.0,free,0,15,False,False
C00455,2021-07-03,67.0,28.1,free,0,1,False,False
C00456,2022-04-05,33.0,5.2,basic,1,168,False,True
C00457,2020-11-29,65.0,19.5,pro,0,3,False,False
C00458,2023-11-25,36.0,35.8,pro,0,27,False,False
C00459,2021-02-04,30.0,0.3,free,2,9,False,False
C00460,2020-06-22,23.0,14.2,free,1,28,False,False
C00461,2021-02-12,22.0,23.1,free,2,26,False,False
C00462,2020-01-14,56.0,36.1,basic,0,11,False,False
C00463,2020-05-06,29.0,8.9,free,2,125,False,True
C00464,2020-08-09,48.0,1.9,free,0,18,False,False
C00465,2022-03-06,55.0,41.4,free,0,19,False,False
C00466,2021-10-20,33.0,9.2,pro,2,11,False,False
C00467,2023-12-11,45.0,14.3,free,4,14,False,False
C00468,2021-05-26,60.0,10.9,free,0,12,False,False
C00469,2023-01-14,57.0,4.0,free,1,5,False,False
C00470,2020-05-15,73.0,10.3,basic,0,27,False,False
C00471,2021-06-23,,15.9,basic,0,16,False,False
C00472,2023-08-27,38.0,0.3,free,0,11,False,False
C00473,2022-09-02,39.0,2.0,free,0,20,False,False
